date,code,open,high,low,close,volume,amount,turnover_rate,pct_chg,isST
2023-08-03,000566,4.79,5.13,4.77,5.0,53734010,269007092.87,4.6108,4.8218,0
2023-08-04,000566,4.97,5.01,4.89,4.91,39004779,192587769.25,3.3469,-1.8,0
2023-08-07,000566,4.91,4.91,4.78,4.79,19637502,94482603.64,1.6851,-2.444,0
2023-08-08,000566,4.78,4.86,4.72,4.83,17970900,86013135.0,1.5421,0.8351,0
2023-08-09,000566,4.81,4.92,4.76,4.89,18989900,92177046.0,1.6295,1.2422,0
2023-08-10,000566,4.87,4.89,4.81,4.83,9558900,46265137.0,0.8202,-1.227,0
2023-08-11,000566,4.83,4.9,4.81,4.81,11687717,56739890.6,1.0029,-0.4141,0
2023-08-14,000566,4.78,4.85,4.71,4.8,12697400,60401893.0,1.0895,-0.2079,0
2023-08-15,000566,4.79,4.84,4.71,4.83,11389900,54517515.0,0.9773,0.625,0
2023-08-16,000566,4.8,4.91,4.79,4.81,10721300,52038058.0,0.92,-0.4141,0
2023-08-17,000566,4.8,4.83,4.75,4.81,9210100,44039737.0,0.7903,0.0,0
2023-08-18,000566,4.8,4.81,4.61,4.62,20621928,96934771.08,1.7695,-3.9501,0
2023-08-21,000566,4.61,4.64,4.55,4.57,10017554,46033795.94,0.8596,-1.0823,0
2023-08-22,000566,4.55,4.6,4.48,4.55,9542889,43242552.37,0.8189,-0.4376,0
2023-08-23,000566,4.53,4.56,4.48,4.49,7381611,33378703.94,0.6334,-1.3187,0
2023-08-24,000566,4.49,4.52,4.41,4.44,9192400,40985667.11,0.7888,-1.1136,0
2023-08-25,000566,4.46,4.52,4.43,4.45,7305421,32735526.46,0.6269,0.2252,0
2023-08-28,000566,4.68,4.69,4.48,4.5,13646617,62479445.37,1.171,1.1236,0
2023-08-29,000566,4.51,4.58,4.48,4.55,9053400,41069746.0,0.7769,1.1111,0
2023-08-30,000566,4.55,4.59,4.51,4.53,8442080,38350887.6,0.7244,-0.4396,0
2023-08-31,000566,4.53,4.59,4.48,4.55,9839704,44623629.92,0.8443,0.4415,0
2023-09-01,000566,4.55,4.57,4.51,4.54,5635300,25559690.0,0.4836,-0.2198,0
2023-09-04,000566,4.54,4.64,4.53,4.62,8306391,38091145.6,0.7128,1.7621,0
2023-09-05,000566,4.61,4.62,4.54,4.56,7556100,34572271.0,0.6484,-1.2987,0
2023-09-06,000566,4.55,4.55,4.5,4.51,7384200,33357862.0,0.6336,-1.0965,0
2023-09-07,000566,4.5,4.51,4.42,4.42,9294609,41451018.96,0.7976,-1.9956,0
2023-09-08,000566,4.42,4.48,4.4,4.44,5550500,24626368.0,0.4763,0.4525,0
2023-09-11,000566,4.45,4.56,4.42,4.53,11079505,50060137.65,0.9507,2.027,0
2023-09-12,000566,4.54,4.61,4.53,4.58,12167705,55739567.85,1.0441,1.1038,0
2023-09-13,000566,4.56,4.59,4.47,4.51,9250200,41806186.0,0.7937,-1.5284,0
2023-09-14,000566,4.51,4.55,4.5,4.53,6130500,27757448.0,0.526,0.4435,0
2023-09-15,000566,4.54,4.62,4.53,4.61,13752139,63202246.86,1.18,1.766,0
2023-09-18,000566,4.61,4.66,4.57,4.66,11959662,55251167.58,1.0262,1.0846,0
2023-09-19,000566,4.65,4.68,4.63,4.66,8689000,40458698.0,0.7456,0.0,0
2023-09-20,000566,4.65,4.7,4.62,4.65,8355400,38980088.0,0.717,-0.2146,0
2023-09-21,000566,4.65,4.67,4.61,4.62,5993166,27759085.56,0.5143,-0.6452,0
2023-09-22,000566,4.61,4.67,4.58,4.66,8437207,38980727.58,0.724,0.8658,0
2023-09-25,000566,4.66,4.71,4.64,4.68,9808793,45979858.17,0.8417,0.4292,0
2023-09-26,000566,4.69,4.7,4.63,4.64,6594902,30740722.36,0.5659,-0.8547,0
2023-09-27,000566,4.64,4.74,4.64,4.71,10690170,50279075.3,0.9173,1.5086,0
2023-09-28,000566,4.73,4.74,4.7,4.71,7558035,35651761.5,0.6485,0.0,0
2023-10-09,000566,4.7,4.7,4.61,4.67,10765402,50051441.3,0.9238,-0.8493,0
2023-10-10,000566,4.67,4.7,4.56,4.57,7975600,36704315.0,0.6844,-2.1413,0
2023-10-11,000566,4.57,4.7,4.57,4.63,10164813,47273027.93,0.8722,1.3129,0
2023-10-12,000566,4.69,4.73,4.59,4.65,16091960,74946971.4,1.3808,0.432,0
2023-10-13,000566,4.65,4.74,4.63,4.72,13777758,64860810.84,1.1822,1.5054,0
2023-10-16,000566,4.73,4.78,4.65,4.68,9065400,42577656.0,0.7779,-0.8475,0
2023-10-17,000566,4.69,4.7,4.58,4.62,9481568,43760005.16,0.8136,-1.2821,0
