date,code,side,price,shares,amount,fee,reason
2025-07-29,000566,SELL,6.74325,14600,98451.45,127.98688499999999,hold_days
2025-07-29,000534,SELL,14.49549,6800,98569.332,128.1401316,hold_days
2025-07-29,000633,SELL,6.133859999999999,16100,98755.146,128.38168979999998,hold_days
2025-07-29,000566,BUY,6.756749999999999,14800,99999.9,29.999969999999994,signal
2025-07-29,000561,BUY,10.02001,9900,99198.09899999999,29.759429699999995,signal
2025-07-29,000078,BUY,2.75275,36300,99924.825,29.977447499999997,signal
2025-07-31,000505,SELL,6.7932,14600,99180.72,128.934936,hold_days
2025-07-31,000572,SELL,4.4955,22300,100249.65,130.324545,hold_days
2025-07-31,000546,SELL,5.20479,18700,97329.573,126.5284449,hold_days
2025-07-31,000566,SELL,6.412493587499999,14800,94904.905095,123.3763766235,stop_loss
2025-07-31,000620,BUY,1.6816799999999998,59400,99891.79199999999,29.967537599999993,signal
2025-07-31,000566,BUY,6.53653,15200,99355.256,29.806576799999995,signal
2025-07-31,000546,BUY,5.215209999999999,19100,99610.51099999998,29.883153299999993,signal
2025-07-31,000534,BUY,14.504489999999999,6800,98630.53199999999,29.589159599999995,signal
2025-08-01,000523,SELL,3.26673,29400,96041.862,124.85442059999998,hold_days
2025-08-01,000571,SELL,4.502995496999999,21000,94562.90543699998,122.93177706809996,stop_loss
2025-08-01,000571,BUY,4.524519999999999,22100,99991.89199999998,29.99756759999999,signal
2025-08-01,000572,BUY,4.37437,22800,99735.636,29.920690799999996,signal
2025-08-04,000593,SELL,6.38361,15900,101499.399,131.9492187,hold_days
2025-08-04,000411,SELL,11.13885,8900,99135.765,128.8764945,hold_days
2025-08-04,000534,SELL,15.938984061,6800,108385.0916148,140.90061909923998,take_profit
2025-08-04,000070,BUY,7.397389999999999,13500,99864.76499999998,29.95942949999999,signal
2025-08-04,000609,BUY,3.2632599999999994,30600,99855.75599999998,29.95672679999999,signal
2025-08-04,000593,BUY,6.396389999999999,15600,99783.684,29.935105199999995,signal
2025-08-05,000561,SELL,10.40958,9900,103054.842,133.9712946,hold_days
2025-08-05,000078,SELL,2.76723,36300,100450.44900000001,130.5855837,hold_days
2025-08-05,000659,BUY,3.02302,33000,99759.65999999999,29.927897999999995,signal
2025-08-05,000547,BUY,8.298289999999998,12000,99579.47999999998,29.87384399999999,signal
2025-08-07,000620,SELL,1.6283699999999999,59400,96725.17799999999,125.74273139999997,hold_days
2025-08-07,000566,SELL,6.37362,15200,96879.02399999999,125.94273119999998,hold_days
2025-08-07,000546,SELL,5.1948,19100,99220.68,128.98688399999998,hold_days
2025-08-07,000070,SELL,8.128991871,13500,109741.3902585,142.66380733604998,take_profit
2025-08-07,000566,BUY,6.386379999999999,15600,99627.52799999999,29.888258399999994,signal
2025-08-07,000603,BUY,15.925909999999998,6200,98740.64199999999,29.622192599999995,signal
2025-08-07,000533,BUY,7.507499999999999,13300,99849.74999999999,29.954924999999992,signal
2025-08-07,000561,BUY,10.50049,9500,99754.655,29.926396499999996,signal
2025-08-08,000571,SELL,4.6453500000000005,22100,102662.23500000002,133.46090550000002,hold_days
2025-08-08,000572,SELL,4.67532,22800,106597.296,138.5764848,hold_days
2025-08-08,000534,BUY,15.695679999999998,6300,98882.78399999999,29.66483519999999,signal
2025-08-08,000536,BUY,5.105099999999999,19500,99549.44999999998,29.864834999999992,signal
2025-08-11,000609,SELL,3.2567399999999997,30600,99656.24399999999,129.55311719999997,hold_days
2025-08-11,000593,SELL,6.6233699999999995,15600,103324.57199999999,134.32194359999997,hold_days
2025-08-11,000534,SELL,17.247982752,6300,108662.29133759999,141.26097873887997,take_profit
