top_n,hold_days,min_score,take_profit,stop_loss,total_return,annual_return,max_drawdown,sharpe,trade_count,final_equity
5,2,0.45,0.05,,0.08102545061067867,0.18270753394325534,-0.011450337928339938,3.0663429786888057,43.0,1081025.4506106786
5,2,0.45,0.05,0.03,0.08102545061067867,0.18270753394325534,-0.011450337928339938,3.0663429786888057,43.0,1081025.4506106786
10,2,0.45,0.05,,0.08102545061067867,0.18270753394325534,-0.011450337928339938,3.0663429786888057,43.0,1081025.4506106786
10,2,0.45,0.05,0.03,0.08102545061067867,0.18270753394325534,-0.011450337928339938,3.0663429786888057,43.0,1081025.4506106786
3,5,0.55,0.05,,0.08978751305055854,0.2034513856142639,-0.013875256760858545,3.0501366593287593,30.0,1089787.5130505585
3,5,0.55,0.05,0.02,0.08978751305055854,0.2034513856142639,-0.013875256760858545,3.0501366593287593,30.0,1089787.5130505585
3,5,0.55,0.05,0.03,0.08978751305055854,0.2034513856142639,-0.013875256760858545,3.0501366593287593,30.0,1089787.5130505585
5,5,0.55,0.05,,0.08978751305055854,0.2034513856142639,-0.013875256760858545,3.0501366593287593,30.0,1089787.5130505585
5,5,0.55,0.05,0.02,0.08978751305055854,0.2034513856142639,-0.013875256760858545,3.0501366593287593,30.0,1089787.5130505585
5,5,0.55,0.05,0.03,0.08978751305055854,0.2034513856142639,-0.013875256760858545,3.0501366593287593,30.0,1089787.5130505585
10,5,0.55,0.05,,0.08978751305055854,0.2034513856142639,-0.013875256760858545,3.0501366593287593,30.0,1089787.5130505585
10,5,0.55,0.05,0.02,0.08978751305055854,0.2034513856142639,-0.013875256760858545,3.0501366593287593,30.0,1089787.5130505585
10,5,0.55,0.05,0.03,0.08978751305055854,0.2034513856142639,-0.013875256760858545,3.0501366593287593,30.0,1089787.5130505585
3,2,0.45,0.05,0.02,0.0806350053839191,0.18178766546167524,-0.011450337928339938,3.0433374526436148,43.0,1080635.005383919
5,2,0.45,0.05,0.02,0.0806350053839191,0.18178766546167524,-0.011450337928339938,3.0433374526436148,43.0,1080635.005383919
10,2,0.45,0.05,0.02,0.0806350053839191,0.18178766546167524,-0.011450337928339938,3.0433374526436148,43.0,1080635.005383919
3,2,0.35,,0.02,0.055495879162696715,0.12336731311881177,-0.014933209570825112,3.0329984639916856,43.0,1055495.8791626967
5,2,0.35,,0.02,0.055495879162696715,0.12336731311881177,-0.014933209570825112,3.0329984639916856,43.0,1055495.8791626967
10,2,0.35,,0.02,0.055495879162696715,0.12336731311881177,-0.014933209570825112,3.0329984639916856,43.0,1055495.8791626967
3,2,0.35,,0.03,0.05572162330124897,0.12388486034724466,-0.014722480039971564,3.030473630127011,43.0,1055721.623301249
5,2,0.35,,0.03,0.05572162330124897,0.12388486034724466,-0.014722480039971564,3.030473630127011,43.0,1055721.623301249
10,2,0.35,,0.03,0.05572162330124897,0.12388486034724466,-0.014722480039971564,3.030473630127011,43.0,1055721.623301249
3,2,0.35,0.03,,0.07694939580814864,0.17312345096095405,-0.013182530324344022,2.9991949007839573,55.0,1076949.3958081487
5,2,0.35,0.03,,0.07694939580814864,0.17312345096095405,-0.013182530324344022,2.9991949007839573,55.0,1076949.3958081487
10,2,0.35,0.03,,0.07694939580814864,0.17312345096095405,-0.013182530324344022,2.9991949007839573,55.0,1076949.3958081487
3,3,0.45,0.03,0.02,0.0794633054367011,0.17902950345400503,-0.012735215250947118,2.9893080529399674,51.0,1079463.305436701
5,3,0.45,0.03,0.02,0.0794633054367011,0.17902950345400503,-0.012735215250947118,2.9893080529399674,51.0,1079463.305436701
10,3,0.45,0.03,0.02,0.0794633054367011,0.17902950345400503,-0.012735215250947118,2.9893080529399674,51.0,1079463.305436701
3,5,0.45,0.05,,0.08814546540806578,0.1995491858692453,-0.012473501140092047,2.976651542861036,35.0,1088145.4654080658
3,5,0.45,0.05,0.03,0.08814546540806578,0.1995491858692453,-0.012473501140092047,2.976651542861036,35.0,1088145.4654080658
5,5,0.45,0.05,,0.08814546540806578,0.1995491858692453,-0.012473501140092047,2.976651542861036,35.0,1088145.4654080658
5,5,0.45,0.05,0.03,0.08814546540806578,0.1995491858692453,-0.012473501140092047,2.976651542861036,35.0,1088145.4654080658
10,5,0.45,0.05,,0.08814546540806578,0.1995491858692453,-0.012473501140092047,2.976651542861036,35.0,1088145.4654080658
10,5,0.45,0.05,0.03,0.08814546540806578,0.1995491858692453,-0.012473501140092047,2.976651542861036,35.0,1088145.4654080658
3,3,0.55,0.03,,0.07725850038855908,0.17384878899046918,-0.013371962460843156,2.968116028260758,42.0,1077258.5003885592
3,3,0.55,0.03,0.02,0.07725850038855908,0.17384878899046918,-0.013371962460843156,2.968116028260758,42.0,1077258.5003885592
3,3,0.55,0.03,0.03,0.07725850038855908,0.17384878899046918,-0.013371962460843156,2.968116028260758,42.0,1077258.5003885592
5,3,0.55,0.03,,0.07725850038855908,0.17384878899046918,-0.013371962460843156,2.968116028260758,42.0,1077258.5003885592
5,3,0.55,0.03,0.02,0.07725850038855908,0.17384878899046918,-0.013371962460843156,2.968116028260758,42.0,1077258.5003885592
5,3,0.55,0.03,0.03,0.07725850038855908,0.17384878899046918,-0.013371962460843156,2.968116028260758,42.0,1077258.5003885592
10,3,0.55,0.03,,0.07725850038855908,0.17384878899046918,-0.013371962460843156,2.968116028260758,42.0,1077258.5003885592
10,3,0.55,0.03,0.02,0.07725850038855908,0.17384878899046918,-0.013371962460843156,2.968116028260758,42.0,1077258.5003885592
10,3,0.55,0.03,0.03,0.07725850038855908,0.17384878899046918,-0.013371962460843156,2.968116028260758,42.0,1077258.5003885592
3,5,0.45,,0.02,0.06074585259099674,0.1354366052786964,-0.010851745430888071,2.966587966207827,25.0,1060745.8525909968
5,5,0.45,,0.02,0.06074585259099674,0.1354366052786964,-0.010851745430888071,2.966587966207827,25.0,1060745.8525909968
10,5,0.45,,0.02,0.06074585259099674,0.1354366052786964,-0.010851745430888071,2.966587966207827,25.0,1060745.8525909968
3,2,0.35,0.05,,0.07839651351125965,0.17652129564013652,-0.012290346794007867,2.962122638855876,47.0,1078396.5135112596
5,2,0.35,0.05,,0.07839651351125965,0.17652129564013652,-0.012290346794007867,2.962122638855876,47.0,1078396.5135112596
10,2,0.35,0.05,,0.07839651351125965,0.17652129564013652,-0.012290346794007867,2.962122638855876,47.0,1078396.5135112596
3,3,0.45,0.05,0.02,0.08660786043323254,0.19590134072866805,-0.012346202868536715,2.9556467019008847,39.0,1086607.8604332325
5,3,0.45,0.05,0.02,0.08660786043323254,0.19590134072866805,-0.012346202868536715,2.9556467019008847,39.0,1086607.8604332325
10,3,0.45,0.05,0.02,0.08660786043323254,0.19590134072866805,-0.012346202868536715,2.9556467019008847,39.0,1086607.8604332325
3,3,0.55,,,0.0555415326606703,0.12347196928366211,-0.007348234217035121,2.943284356877006,26.0,1055541.5326606703
3,3,0.55,,0.02,0.0555415326606703,0.12347196928366211,-0.007348234217035121,2.943284356877006,26.0,1055541.5326606703
3,3,0.55,,0.03,0.0555415326606703,0.12347196928366211,-0.007348234217035121,2.943284356877006,26.0,1055541.5326606703
5,3,0.55,,,0.0555415326606703,0.12347196928366211,-0.007348234217035121,2.943284356877006,26.0,1055541.5326606703
5,3,0.55,,0.02,0.0555415326606703,0.12347196928366211,-0.007348234217035121,2.943284356877006,26.0,1055541.5326606703
5,3,0.55,,0.03,0.0555415326606703,0.12347196928366211,-0.007348234217035121,2.943284356877006,26.0,1055541.5326606703
10,3,0.55,,,0.0555415326606703,0.12347196928366211,-0.007348234217035121,2.943284356877006,26.0,1055541.5326606703
10,3,0.55,,0.02,0.0555415326606703,0.12347196928366211,-0.007348234217035121,2.943284356877006,26.0,1055541.5326606703
10,3,0.55,,0.03,0.0555415326606703,0.12347196928366211,-0.007348234217035121,2.943284356877006,26.0,1055541.5326606703
3,3,0.35,0.03,,0.07787019611543,0.175284888733654,-0.013886311379792349,2.917478430578009,55.0,1077870.19611543
5,3,0.35,0.03,,0.07787019611543,0.175284888733654,-0.013886311379792349,2.917478430578009,55.0,1077870.19611543
10,3,0.35,0.03,,0.07787019611543,0.175284888733654,-0.013886311379792349,2.917478430578009,55.0,1077870.19611543
3,5,0.35,,,0.05976768323595594,0.13318262983267237,-0.011764099445015663,2.90414643827437,27.0,1059767.683235956
5,5,0.35,,,0.05976768323595594,0.13318262983267237,-0.011764099445015663,2.90414643827437,27.0,1059767.683235956
10,5,0.35,,,0.05976768323595594,0.13318262983267237,-0.011764099445015663,2.90414643827437,27.0,1059767.683235956
3,3,0.35,0.05,,0.0850092589518372,0.1921150961913276,-0.013801021419678428,2.8918092348247533,43.0,1085009.2589518372
5,3,0.35,0.05,,0.0850092589518372,0.1921150961913276,-0.013801021419678428,2.8918092348247533,43.0,1085009.2589518372
10,3,0.35,0.05,,0.0850092589518372,0.1921150961913276,-0.013801021419678428,2.8918092348247533,43.0,1085009.2589518372
3,5,0.45,0.05,0.02,0.08575451985697069,0.19387942624722276,-0.012473501140092047,2.8860412937688436,37.0,1085754.5198569708
5,5,0.45,0.05,0.02,0.08575451985697069,0.19387942624722276,-0.012473501140092047,2.8860412937688436,37.0,1085754.5198569708
10,5,0.45,0.05,0.02,0.08575451985697069,0.19387942624722276,-0.012473501140092047,2.8860412937688436,37.0,1085754.5198569708
3,3,0.35,0.03,0.03,0.07722864213608771,0.17377871379031062,-0.014473983116605416,2.8844639899589994,55.0,1077228.6421360876
5,3,0.35,0.03,0.03,0.07722864213608771,0.17377871379031062,-0.014473983116605416,2.8844639899589994,55.0,1077228.6421360876
