date,code,open,high,low,close,volume,amount,turnover_rate,pct_chg,isST
2023-06-16,000568,205.226968,208.765364,203.43123203,205.7577274,6320829,1469191164.43,0.4316,0.9111,0
2023-06-19,000568,205.226968,207.4384655,197.07096522,199.97244994,9877368,2237649595.96,0.6745,-2.8117,0
2023-06-20,000568,199.89283603,200.58282325,194.23140243,195.84137261,6988746,1553856825.87,0.4772,-2.0658,0
2023-06-21,000568,195.33715118,198.46863164,194.31101634,194.5233201,5598168,1240592285.71,0.3823,-0.673,0
2023-06-26,000568,192.24105468,192.24105468,185.79232797,187.94190354,7254056,1540994489.56,0.4953,-3.3834,0
2023-06-27,000568,187.94190354,193.5502612,184.9696509,193.03719378,7528472,1618289783.55,0.5141,2.7111,0
2023-06-28,000568,191.54222147,195.6732988,189.77302347,192.71873814,5829190,1269910922.31,0.398,-0.165,0
2023-06-29,000568,192.842582,194.47909015,187.13691845,187.77382973,5481918,1174707796.28,0.3743,-2.5659,0
2023-06-30,000568,186.92461469,188.40189502,184.09389789,185.38541243,7141578,1502107539.66,0.4876,-1.272,0
2023-07-03,000568,184.881191,193.93948476,182.34239187,192.842582,8836252,1903074474.39,0.6034,4.0225,0
2023-07-04,000568,192.842582,195.9386785,190.79031232,195.36368915,5978460,1309876856.0,0.4082,1.3073,0
2023-07-05,000568,194.61178,195.36368915,188.56112284,189.94109728,5401112,1161297045.48,0.3688,-2.7756,0
2023-07-06,000568,189.29534001,192.56835631,187.68536983,188.13651532,3535368,756527249.16,0.2414,-0.9501,0
2023-07-07,000568,187.55267998,189.02111432,185.89847985,186.95999865,3618420,766973161.03,0.2471,-0.6254,0
2023-07-10,000568,189.61379565,191.58645142,187.6234479,188.419587,3977822,852086962.94,0.2716,0.7807,0
2023-07-11,000568,189.51648976,189.73763951,186.0311697,187.91536557,3355463,711732025.04,0.2291,-0.2676,0
2023-07-12,000568,187.91536557,190.72839039,187.36691419,189.17149615,3829705,821018519.5,0.2615,0.6685,0
2023-07-13,000568,191.06453801,201.57357413,190.8964642,201.02512275,10443162,2338475730.51,0.7131,6.2661,0
2023-07-14,000568,202.00702764,203.44892401,199.31784668,202.56432501,5025760,1142234847.9,0.3432,0.7657,0
2023-07-17,000568,200.91897087,200.98973879,194.80639178,197.25673101,4873006,1085353275.92,0.3327,-2.6202,0
2023-07-18,000568,198.14133001,198.150176,195.39022712,196.6463577,2988277,664492620.7,0.204,-0.3094,0
2023-07-19,000568,195.496379,197.23903903,193.4618013,195.62906885,4043415,891879587.05,0.2761,-0.5173,0
2023-07-20,000568,197.07096522,201.12242864,196.10675231,196.59328176,5904047,1325949955.84,0.4031,0.4929,0
2023-07-21,000568,196.65520369,203.7231497,195.04523351,200.75974305,7107610,1611673986.28,0.4853,2.1193,0
2023-07-24,000568,199.93706598,201.23742651,195.52291697,197.32749893,5227138,1168852337.74,0.3569,-1.7096,0
2023-07-25,000568,207.19077778,212.94067128,207.19077778,211.20685724,13488695,3215186971.86,0.921,7.0337,0
2023-07-26,000568,210.63186789,213.86950023,207.880765,210.2691823,7372092,1752337391.31,0.5034,-0.444,0
2023-07-27,000568,210.29572027,216.1075357,208.6769041,212.10030223,7609299,1832446992.28,0.5196,0.8708,0
